#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
46,Bulgaria,"342,633",,"13,197 ",,"259,561",,"69,875",772,"49,591","1,910","2,116,322","306,306","6,909,177 ",Europe,20,524,3
47,Ecuador,"328,755",,"16,847 ",,"281,684",,"30,224",574,"18,425",944,"1,142,739","64,046","17,842,406 ",South America,54,"1,059",16
48,Belarus,"321,807",,"2,247 ",,"312,320",,"7,240",,"34,064",238,"5,368,412","568,267","9,446,996 ",Europe,29,"4,204",2
49,Georgia,"282,260",+499,"3,785 ",+7,"273,604",+437,"4,871",,"70,859",950,"3,418,510","858,183","3,983,430 ",Asia,14,"1,052",1
50,Nepal,"277,309",,"3,030 ",,"272,786",,"1,493",,"9,392",103,"2,271,327","76,926","29,526,270 ",Asia,106,"9,745",13
51,Croatia,"274,054","+2,422","5,967 ",+20,"255,639","+1,260","12,448",155,"67,067","1,460","1,559,330","381,602","4,086,270 ",Europe,15,685,3
52,Bolivia,"272,411",+992,"12,257 ",+18,"221,962","+1,106","38,192",71,"23,102","1,039","908,319","77,031","11,791,585 ",South America,43,962,13
53,Greece,"263,689",,"8,093  ",,"225,062",,"30,534",739,"25,392",779,"6,535,746","629,353","10,384,868 ",Europe,39,"1,283",2
54,Azerbaijan,"261,713",,"3,567 ",,"238,125",,"20,021",,"25,640",349,"2,873,658","281,528","10,207,361 ",Asia,39,"2,862",4
55,Tunisia,"254,018",,"8,812 ",,"217,293",,"27,913",310,"21,327",740,"1,109,826","93,178","11,910,829 ",Africa,47,"1,352",11
56,Dominican Republic,"252,727",,"3,325 ",,"212,156",,"37,246",149,"23,124",304,"1,308,616","119,738","10,929,037 ",North America,43,"3,287",8
57,Kazakhstan,"246,854","+1,873","3,060 ",+14,"220,313","+1,219","23,481",221,"13,031",162,"8,669,927","457,659","18,944,066 ",Asia,77,"6,191",2
58,Palestine,"242,353",,"2,627 ",,"215,429",,"24,297",197,"46,702",506,"1,548,704","298,440","5,189,333 ",Asia,21,"1,975",3
59,Ireland,"235,854",,"4,687 ",,"23,364",,"207,803",64,"47,371",941,"4,006,033","804,602","4,978,900 ",Europe,21,"1,062",1
60,Kuwait,"232,103",,"1,313 ",,"216,580",,"14,210",241,"53,758",304,"2,056,468","476,302","4,317,575 ",Asia,19,"3,288",2
61,Denmark,"230,603",,"2,419 ",,"218,985",,"9,199",43,"39,708",417,"25,378,524","4,369,991","5,807,454 ",Europe,25,"2,401",0
62,Moldova,"230,241",,"4,960 ",,"207,852",,"17,429",331,"57,175","1,232","853,345","211,909","4,026,937 ",Europe,17,812,5
63,Lithuania,"217,005",+869,"3,583 ",+8,"199,767",+744,"13,655",139,"80,560","1,330","2,367,827","879,020","2,693,712 ",Europe,12,752,1
64,Slovenia,"216,939","+1,335","4,054 ",+7,"199,490",+966,"13,395",108,"104,340","1,950","1,064,328","511,905","2,079,152 ",Europe,10,513,2
65,Costa Rica,"216,764",,"2,957 ",,"192,699",,"21,108",163,"42,264",577,"811,544","158,232","5,128,822 ",North America,24,"1,734",6
66,Paraguay,"214,667",,"4,206 ",,"175,614",,"34,847",408,"29,824",584,"912,732","126,807","7,197,814 ",South America,34,"1,711",8
67,Ethiopia,"206,589",,"2,865 ",,"158,109",,"45,615",865,"1,765",24,"2,356,893","20,132","117,073,281 ",Africa,567,"40,863",50
68,Egypt,"202,131",,"11,995 ",,"154,694",,"35,442",90,"1,948",116,"2,506,788","24,158","103,768,245 ",Africa,513,"8,651",41
69,Guatemala,"194,398",,"6,840 ",,"177,235",,"10,323",5,"10,704",377,"1,048,601","57,737","18,161,803 ",North America,93,"2,655",17
70,Armenia,"193,736","+1,097","3,533 ",+18,"173,681",+617,"16,522",,"65,288","1,191","860,046","289,833","2,967,387 ",Asia,15,840,3
71,Honduras,"189,043",+529,"4,605 ",+6,"72,732",+88,"111,706",471,"18,863",459,"517,140","51,602","10,021,788 ",North America,53,"2,176",19
72,Qatar,"179,964",,291 ,,"164,121",,"15,552",291,"64,094",104,"1,734,601","617,778","2,807,805 ",Asia,16,"9,649",2
73,Bosnia and Herzegovina,"169,626",,"6,599 ",,"130,492",,"32,535",,"51,945","2,021","791,077","242,253","3,265,506 ",Europe,19,495,4
74,Nigeria,"162,891",,"2,057 ",,"151,648",,"9,186",11,776,10,"1,767,694","8,421","209,924,712 ",Africa,"1,289","102,054",119
75,Venezuela,"160,497",,"1,602 ",,"147,846",,"11,049",184,"5,656",56,"3,179,074","112,036","28,375,554 ",South America,177,"17,713",9
76,Oman,"160,018",+800,"1,681 ",+3,"144,639",+673,"13,698",160,"30,756",323,"1,550,000","297,916","5,202,814 ",Asia,33,"3,095",3
77,Libya,"159,980","+1,023","2,680 ",+13,"147,864",+717,"9,436",,"23,049",386,"865,202","124,653","6,940,868 ",Africa,43,"2,590",8
78,Bahrain,"144,445",,521 ,,"135,315",,"8,609",55,"82,768",299,"3,581,161","2,052,021","1,745,187 ",Asia,12,"3,350",0
79,Myanmar,"142,434",,"3,206 ",,"131,800",,"7,428",,"2,605",59,"2,538,244","46,418","54,682,195 ",Asia,384,"17,056",22
80,Kenya,"134,058",,"2,153 ",,"92,679",,"39,226",153,"2,453",39,"1,489,459","27,255","54,649,903 ",Africa,408,"25,383",37
81,North Macedonia,"130,022",,"3,781 ",,"106,979",,"19,262",124,"62,411","1,815","625,255","300,126","2,083,310 ",Europe,16,551,3
82,Albania,"125,157",,"2,235 ",,"91,271",,"31,651",46,"43,526",777,"554,522","192,848","2,875,443 ",Europe,23,"1,287",5
83,Algeria,"117,192",,"3,093 ",,"81,538",,"32,561",15,"2,637",70,"230,861","5,195","44,439,495 ",Africa,379,"14,368",192
84,Estonia,"107,253",+832,908 ,+6,"83,417","+1,558","22,928",72,"80,811",684,"1,148,800","865,580","1,327,203 ",Europe,12,"1,462",1
85,Uruguay,"105,549",,974 ,,"83,380",,"21,195",339,"30,306",280,"1,372,348","394,044","3,482,732 ",South America,33,"3,576",3
86,S. Korea,"103,639",+551,"1,735 ",+4,"95,439",+409,"6,465",107,"2,020",34,"7,747,303","151,013","51,302,210 ",Asia,495,"29,569",7
87,Latvia,"103,001",+638,"1,913 ",+14,"93,631",,"7,457",92,"55,065","1,023","1,904,314","1,018,064","1,870,524 ",Europe,18,978,1
88,Norway,"96,079",,673 ,,"80,023",,"15,383",57,"17,620",123,"4,664,710","855,457","5,452,884 ",Europe,57,"8,102",1
89,Sri Lanka,"92,706",,568 ,,"89,251",,"2,887",,"4,316",26,"2,374,627","110,549","21,480,365 ",Asia,232,"37,818",9
90,Montenegro,"91,218",,"1,274 ",,"83,498",,"6,446",69,"145,222","2,028","336,766","536,144","628,126 ",Europe,7,493,2
91,Ghana,"90,583",,743 ,,"88,065",,"1,775",41,"2,871",24,"998,389","31,640","31,554,336 ",Africa,348,"42,469",32
92,Kyrgyzstan,"88,538",+164,"1,500 ",+1,"84,897",+88,"2,141",24,"13,406",227,"857,676","129,867","6,604,243 ",Asia,75,"4,403",8
93,Zambia,"88,418",,"1,208 ",,"84,592",,"2,618",93,"4,712",64,"1,251,990","66,720","18,764,809 ",Africa,212,"15,534",15
94,Uzbekistan,"83,050",+181,630 ,+1,"81,135",+152,"1,285",23,"2,455",19,"1,377,915","40,730","33,830,249 ",Asia,407,"53,699",25
95,Finland,"78,106",+654,844 ,,"46,000",,"31,262",50,"14,080",152,"3,983,832","718,175","5,547,161 ",Europe,71,"6,572",1
96,Cuba,"75,263",,424 ,,"70,614",,"4,225",66,"6,648",37,"2,984,264","263,594","11,321,439 ",North America,150,"26,702",4
97,Mozambique,"67,579",,775 ,,"56,409",,"10,395",,"2,118",24,"480,898","15,074","31,903,189 ",Africa,472,"41,165",66
98,El Salvador,"64,431",,"2,006 ",,"61,640",,785,30,"9,896",308,"839,408","128,928","6,510,662 ",North America,101,"3,246",8
99,Luxembourg,"61,642",,746 ,,"57,092",,"3,804",25,"97,296","1,177","2,399,159","3,786,838","633,552 ",Europe,10,849,0
100,Singapore,"60,407",+26,30 ,,"60,149",,228,1,"10,265",5,"8,546,349","1,452,303","5,884,686 ",Asia,97,"196,156",1
101,Afghanistan,"56,572",+55,"2,495 ",+6,"51,788",+238,"2,289","1,120","1,429",63,"349,961","8,842","39,578,536 ",Asia,700,"15,863",113
102,Cameroon,"47,669",,721 ,,"35,261",,"11,687",53,"1,763",27,"905,000","33,475","27,035,380 ",Africa,567,"37,497",30
103,Cyprus,"45,864",,256 ,,"2,057",,"43,551",43,"37,782",211,"3,305,088","2,722,655","1,213,921 ",Asia,26,"4,742",0
104,Namibia,"44,139",,523 ,,"41,848",,"1,768",33,"17,141",203,"347,135","134,804","2,575,100 ",Africa,58,"4,924",7
105,Ivory Coast,"43,889",,244 ,,"40,254",,"3,391",,"1,634",9,"519,522","19,340","26,862,201 ",Africa,612,"110,091",52
